wals code	name	latitude	longitude	genus	family	subfamily	iso codes
nmp	Nahuatl (Milpa Alta)	19.25	-99.1666666667	Aztecan	Uto-Aztecan		
nnc	Nancowry	8.05	93.5	Nicobarese	Austro-Asiatic	Mon-Khmer	ncb
nnd	Nend	-5	144.916666667	Madang	Trans-New Guinea		anh
nne	Nengone	-21.5	168	Oceanic	Austronesian	Eastern Malayo-Polynesian	nen
nng	Nyanga	-1.25	28.1666666667	Bantoid	Niger-Congo	Benue-Congo	nyj
nnk	Nankina	-5.78333333333	146.45	Finisterre-Huon	Trans-New Guinea		nnk
nnm	Nanumea	-5.66666666667	176.116666667	Oceanic	Austronesian	Eastern Malayo-Polynesian	tvl
nnn	Nuni (Northern)	12.1666666667	-3	Gur	Niger-Congo		nuv
nnt	Nanticoke	38	-76.25	Algonquian	Algic		nnt
nob	Nobiin	21	31	Nubian	Nilo-Saharan	Eastern Sudanic	fia
noc	Nocte	27	95.5	Baric	Sino-Tibetan	Tibeto-Burman	njb
nog	Noghay	44	46	Turkic	Altaic		nog
nok	Noghay (Karagash)	47.5	47.25	Turkic	Altaic		nog
nom	Nomatsiguenga	-11.6666666667	-74.5	Arawakan	Arawakan		not
non	Noni	6.41666666667	10.5833333333	Bantoid	Niger-Congo	Benue-Congo	nhu
noo	Noon	14.8333333333	-16.8333333333	Northern Atlantic	Niger-Congo	Atlantic	snf
nor	Norwegian	61	8	Germanic	Indo-European		nob
npa	Nahuatl (Pajapan)	18.25	-94.75	Aztecan	Uto-Aztecan		nhp
nph	Nar-Phu	28.6666666667	84.25	Bodic	Sino-Tibetan	Tibeto-Burman	npa
npi	Nigerian Pidgin	6.5	3.33333333333	Creoles and Pidgins	other		pcm
npn	Naga Pidgin	25.6666666667	94	Creoles and Pidgins	other		nag
npu	Napu	-1.33333333333	120.416666667	Sulawesi	Austronesian	Western Malayo-Polynesian	npy
nrm	Narom	4.41666666667	114	Borneo	Austronesian	Western Malayo-Polynesian	nrm
nro	Nharo	-22.3333333333	20.5	Central Khoisan	Khoisan		nhr
nse	Nsenga	-14.5	30.8333333333	Bantoid	Niger-Congo	Benue-Congo	nse
nsg	Nisgha	55	-130	Tsimshianic	Penutian		ncg
nsk	Naskapi	56	-70	Algonquian	Algic		nsk
nsn	Nisenan	39	-121	Maiduan	Penutian		nsz
nsy	Neo-Aramaic (Assyrian)	36	41	Semitic	Afro-Asiatic		aii
nsz	Nahuatl (Sierra de Zacapoaxtla)	19.5833333333	-97.3333333333	Aztecan	Uto-Aztecan		azz
nte	Norsk Tegnspråk	61	9	Sign Languages	other		nsl
nti	Ngiti	1.33333333333	30.25	Lendu	Nilo-Saharan	Central Sudanic	niy
ntj	Ngaanyatjarra	-26	126.5	Pama-Nyungan	Australian		ntj
ntn	Nateni	10.5	1.16666666667	Gur	Niger-Congo		ntm
nto	Ntomba	-2	18.3333333333	Bantoid	Niger-Congo	Benue-Congo	nto
ntu	Nenets (Tundra)	70	76	Samoyedic	Uralic		yrk
nua	Nuaulu	-3.25	129.166666667	Central Malayo-Polynesian	Austronesian		nni nxl
nub	Nubi	0.666666666667	32.0833333333	Creoles and Pidgins	other		kcn
nue	Nuer	8.33333333333	32	Nilotic	Nilo-Saharan	Eastern Sudanic	nus
nug	Nunggubuyu	-13.75	135.666666667	Nunggubuyu	Australian	Gunwinyguan	nuy
nuk	Nukak	2.5	-71.5	Cacua-Nukak	Cacua-Nukak		mbr
nun	Nung (in Vietnam)	21.9166666667	106.416666667	Kam-Tai	Tai-Kadai		nut
nup	Nupe	9.16666666667	5.41666666667	Nupoid	Niger-Congo	Benue-Congo	nup
nus	Nusu	26.75	99	Burmese-Lolo	Sino-Tibetan	Tibeto-Burman	nuf
nuu	Nuuchahnulth	49.6666666667	-126.666666667	Southern Wakashan	Wakashan		noo
nvs	Nivkh (South Sakhalin)	47	142.5	Nivkh	Nivkh		niv
nwd	Newari (Dolakha)	27.3333333333	86	Bodic	Sino-Tibetan	Tibeto-Burman	new
nya	Nyawaygi	-19	146.166666667	Pama-Nyungan	Australian		nyt
